sales_date,sku_id,product_name,daily_quantity,rolling_mean_7,spike_ratio,severity,reason,anomaly_type
2025-12-10,7.054785415521419e+18,	【子豪专属】WEBBER NATURALS6岁+儿童鱼油高DHA香橙味欧米伽3眼脑同步120粒,6,1.8571428571428572,3.230769230769231,Medium,Campaign-driven sales spike: Sales are 3.23x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-06-09,7.05478541552142e+18,Webber Naturals儿童鱼油150mg高DHA香橙味omega3脑黄金120粒6岁+-默认-(DYWEB625273033496),8,2.4285714285714284,3.294117647058824,Medium,Campaign-driven sales spike: Sales are 3.29x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,7.054785415521436e+18,WEBBER NATURALS伟博天然进口钙镁维生素D3复合片200粒/瓶-默认-(DYWEB625273038668),5,1.4285714285714286,3.5,Medium,Campaign-driven sales spike: Sales are 3.5x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,7.054785415630438e+18,WEBBER NATURALS高浓缩肉桂精华植物维稳糖值150mg呵护健康60粒-默认-(DYWEB625273034370),8,1.1428571428571428,7.0,High,Campaign-driven sales spike: Sales are 7.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-14,7.054785415630471e+18,WEBBER NATURALS氨基葡萄糖软骨素添加D3双倍关节氨糖维骨力300粒-默认-(DYWEB625273052558),7,1.7142857142857142,4.083333333333334,Medium,Campaign-driven sales spike: Sales are 4.08x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-12-03,7.054785415630504e+18,WEBBER NATURALS进口3倍浓缩Omega3深海鱼油100mg辅酶q10胶囊80粒-默认-(DYWEB625273033779),6,2.0,3.0,Medium,Campaign-driven sales spike: Sales are 3.0x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-27,7.08119283374678e+18,WEBBER NATURALS心脏辅酶Q10天然发酵胶囊100mg呵护心肌健康60粒-默认-(DYWEB625273038552),8,1.4285714285714286,5.6,High,Campaign-driven sales spike: Sales are 5.6x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-01,7.081274294365618e+18,WEBBER NATURALS硫酸氨糖骨关节灵15种草本营养配方OSTEO 80粒/瓶-默认-(DYWEB625273033755),5,1.1428571428571428,4.375,Medium,Campaign-driven sales spike: Sales are 4.38x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-10,7.081540798906548e+18,WEBBER NATURALS天然大豆卵磷脂胶囊鱼油搭档1200mg 180粒/瓶-默认-(DYWEB625273079746),6,1.2857142857142858,4.666666666666666,Medium,Campaign-driven sales spike: Sales are 4.67x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-06-09,7.085276593567991e+18,WebberNaturals伟博天然高含量叶黄素玉米黄素40mg中老年护眼60粒-默认-(DYWEB625273034561),8,2.5714285714285716,3.1111111111111107,Medium,Campaign-driven sales spike: Sales are 3.11x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-01-30,7.086274688812433e+18, webber naturals伟博胶原蛋白与神经酰胺生物活性胶原肽120片/瓶-默认-(DYWEB625273036695),11,2.5714285714285716,4.277777777777778,Medium,Campaign-driven sales spike: Sales are 4.28x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-10-06,7.086274688812433e+18,WEBBER NATURALS伟博胶原蛋白与神经酰胺生物活性胶原肽120片/瓶-默认-(DYWEB625273036695),9,2.7142857142857144,3.31578947368421,Medium,Campaign-driven sales spike: Sales are 3.32x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-09,7.11003268465066e+18,WebberNaturals伟博天然500mg维生素C胶囊60粒-默认-(625273076622),16,3.4285714285714284,4.666666666666667,Medium,Campaign-driven sales spike: Sales are 4.67x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-11-10,7.11003268465066e+18,WebberNaturals伟博天然500mg维生素C胶囊60粒-默认-(625273076622),20,5.285714285714286,3.7837837837837838,Medium,Campaign-driven sales spike: Sales are 3.78x higher than the 7-day average.,CAMPAIGN_SPIKE
2025-06-03,7.144930821143692e+18,伟博天然进口KSM66南非醉茄印度人参精华3600mg*120粒降低皮质醇-默认-(DYWEB625273052640),12,3.7142857142857144,3.230769230769231,Medium,Campaign-driven sales spike: Sales are 3.23x higher than the 7-day average.,CAMPAIGN_SPIKE
